,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
330,"Paul, Chris",2005,Y,101108,chris_paul,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
331,"Payne, Adreian",2014,Y,203940,adreian_payne,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2015
332,"Payne, Cameron",2015,Y,1626166,cameron_payne,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
333,"Payton, Elfrid",2014,Y,203901,elfrid_payton,1,ORL,Orlando,magic,1610612753,Magic,2015
334,"Pekovic, Nikola",2010,Y,201593,nikola_pekovic,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2015
335,"Perkins, Kendrick",2003,Y,2570,kendrick_perkins,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
336,"Pierce, Paul",1998,Y,1718,paul_pierce,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
337,"Pleiss, Tibor",2015,Y,202353,tibor_pleiss,1,UTA,Utah,jazz,1610612762,Jazz,2015
338,"Plumlee, Mason",2013,Y,203486,mason_plumlee,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
339,"Plumlee, Miles",2012,Y,203101,miles_plumlee,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
340,"Pondexter, Quincy",2010,Y,202347,quincy_pondexter,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
341,"Porter, Otto",2013,Y,203490,otto_porter,1,WAS,Washington,wizards,1610612764,Wizards,2015
342,"Portis, Bobby",2015,Y,1626171,bobby_portis,1,CHI,Chicago,bulls,1610612741,Bulls,2015
343,"Porzingis, Kristaps",2015,Y,204001,kristaps_porzingis,1,NYK,New York,knicks,1610612752,Knicks,2015
344,"Powell, Dwight",2014,Y,203939,dwight_powell,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
345,"Powell, Norman",2015,Y,1626181,norman_powell,1,TOR,Toronto,raptors,1610612761,Raptors,2015
346,"Pressey, Phil",2013,Y,203515,phil_pressey,0,,,,0,,2015
347,"Price, Ronnie",2005,Y,101179,ronnie_price,1,PHX,Phoenix,suns,1610612756,Suns,2015
348,"Prigioni, Pablo",2012,Y,203143,pablo_prigioni,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
349,"Prince, Tayshaun",2002,Y,2419,tayshaun_prince,1,MIN,Minnesota,timberwolves,1610612750,Timberwolves,2015
350,"Randle, Julius",2014,Y,203944,julius_randle,1,LAL,Los Angeles,lakers,1610612747,Lakers,2015
351,"Randolph, Zach",2001,Y,2216,zach_randolph,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
352,"Redick, JJ",2006,Y,200755,jj_redick,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
353,"Reed, Willie",2012,Y,203186,willie_reed,1,BKN,Brooklyn,nets,1610612751,Nets,2015
354,"Richardson, Josh",2015,Y,1626196,josh_richardson,1,MIA,Miami,heat,1610612748,Heat,2015
355,"Rivers, Austin",2012,Y,203085,austin_rivers,1,LAC,Los Angeles,clippers,1610612746,Clippers,2015
356,"Roberson, Andre",2013,Y,203460,andre_roberson,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
357,"Roberts, Brian",2012,Y,203148,brian_roberts,1,CHA,Charlotte,hornets,1610612766,Hornets,2015
358,"Robinson, Glenn",2014,Y,203922,glenn_robinson_iii,1,IND,Indiana,pacers,1610612754,Pacers,2015
359,"Robinson, Nate",2005,Y,101126,nate_robinson,0,,,,0,,2015
360,"Robinson, Thomas",2012,Y,203080,thomas_robinson,1,BKN,Brooklyn,nets,1610612751,Nets,2015
361,"Rondo, Rajon",2006,Y,200765,rajon_rondo,1,SAC,Sacramento,kings,1610612758,Kings,2015
